item_id,locale,difficulty,target_word,displayed_incomplete_word,correct_answer,distractors,ambiguity_check,spelling_check,age_tier_check,reviewer_status
ml-lv001,vi,1,mèo,M_O,È,A|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv001,en,1,cat,C_T,A,O|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv002,vi,1,cá,C_,Á,O|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv002,en,1,dog,D_G,O,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv003,vi,1,bò,B_,Ò,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv003,en,1,pig,P_G,I,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv004,vi,1,gà,G_,À,Ô|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv004,en,1,hen,H_N,E,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv005,vi,1,chó,CH_,Ó,A|Ơ,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv005,en,1,fox,F_X,O,A|I,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv006,vi,1,vịt,V_T,Ị,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv006,en,1,fish,F_SH,I,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv007,vi,1,hoa,H_A,O,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv007,en,1,sun,S_N,U,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv008,vi,1,lá,L_,Á,O|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv008,en,1,rain,R_IN,A,O|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv009,vi,1,mưa,M_A,Ư,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv009,en,1,leaf,L_AF,E,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv010,vi,1,nắng,N_NG,Ắ,O|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv010,en,1,snow,SN_W,O,A|I,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv011,vi,1,cam,C_M,A,O|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv011,en,1,cake,C_KE,A,O|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv012,vi,1,cơm,C_M,Ơ,A|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv012,en,1,rice,R_CE,I,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv013,vi,1,bánh,B_NH,Á,Ê|Ô,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv013,en,1,milk,M_LK,I,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv014,vi,1,sữa,S_A,Ữ,A|Ô,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv014,en,1,soup,S_UP,O,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv015,vi,1,đèn,Đ_N,È,A|Ô,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv015,en,1,lamp,L_MP,A,O|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv016,vi,1,bút,B_T,Ú,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv016,en,1,book,B_OK,O,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv017,vi,1,bàn,B_N,À,O|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv017,en,1,desk,D_SK,E,A|O,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv018,vi,1,ghế,GH_,Ế,A|Ô,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv018,en,1,chair,CH_IR,A,O|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv019,vi,1,áo,Á_,O,Ê|U,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv019,en,1,coat,C_AT,O,A|E,pending_human_review,pending_human_review,pending_human_review,pending
ml-lv020,vi,1,mũ,M_,Ũ,A|Ê,pending_human_review,pending_human_review,pending_human_review,pending
